                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1978,                 2.8065,                 1.4079,                0.60826,                0.60764,                0.63374,                0.44733,                0.89109,                 1.8239,                  1.155,              0.0033255,              0.0033255,              0.0033255
                      2,                 1.1368,                 2.1529,                 1.3341,                 0.4348,                0.56935,                0.48219,                0.34041,                0.98996,                 2.8183,                 1.2483,              0.0065929,              0.0065929,              0.0065929
                      3,                 1.1987,                 2.0826,                 1.3787,                0.55261,                0.57709,                0.59028,                0.37262,                 1.1192,                 2.0028,                 1.3279,              0.0097943,              0.0097943,              0.0097943
                      4,                 1.2455,                 2.0648,                 1.4246,                0.51279,                0.56925,                0.55322,                0.35251,                 1.1856,                 2.0094,                 1.3616,               0.009703,               0.009703,               0.009703
                      5,                 1.2237,                 1.9302,                  1.401,                0.69032,                0.67957,                0.75763,                0.52607,                 1.0572,                 1.2323,                 1.2944,               0.009604,               0.009604,               0.009604
                      6,                 1.1696,                 1.8318,                 1.3672,                0.72302,                0.63334,                0.71366,                0.49229,                 1.0943,                 1.4045,                 1.2945,               0.009505,               0.009505,               0.009505
                      7,                 1.1451,                 1.7326,                 1.3496,                 0.7677,                0.75991,                0.82979,                0.61577,                0.87001,                  1.054,                 1.1466,               0.009406,               0.009406,               0.009406
                      8,                 1.1234,                 1.6662,                 1.3302,                0.82878,                0.78936,                0.87456,                0.63715,                0.87844,                 1.0114,                 1.1395,               0.009307,               0.009307,               0.009307
                      9,                 1.1053,                 1.6143,                 1.3192,                0.81305,                 0.7304,                0.82765,                0.63085,                0.84923,                0.96141,                 1.1311,               0.009208,               0.009208,               0.009208
                     10,                  1.083,                 1.5569,                 1.3003,                0.81578,                0.80591,                 0.8728,                0.66712,                0.83208,                0.90302,                 1.1064,               0.009109,               0.009109,               0.009109
                     11,                 1.0712,                 1.5258,                  1.296,                0.85734,                0.86754,                0.91632,                0.71101,                0.81683,                0.76832,                 1.0958,                0.00901,                0.00901,                0.00901
                     12,                 1.0501,                 1.4847,                  1.285,                0.81876,                 0.8604,                 0.9069,                0.69557,                0.80876,                0.80305,                 1.0974,               0.008911,               0.008911,               0.008911
                     13,                 1.0435,                 1.4398,                 1.2777,                 0.8416,                0.85973,                  0.907,                0.71995,                0.75451,                0.75752,                  1.052,               0.008812,               0.008812,               0.008812
                     14,                 1.0357,                  1.424,                 1.2725,                0.84518,                0.87901,                0.92475,                0.73382,                0.77448,                0.72015,                 1.0657,               0.008713,               0.008713,               0.008713
                     15,                 1.0245,                 1.3833,                 1.2623,                0.85266,                0.87089,                0.92877,                0.74615,                  0.751,                0.77404,                 1.0394,               0.008614,               0.008614,               0.008614
                     16,                  1.017,                 1.3651,                  1.255,                0.86488,                0.87127,                0.92545,                0.74302,                0.74454,                0.70373,                 1.0539,               0.008515,               0.008515,               0.008515
                     17,                 1.0053,                 1.3358,                 1.2434,                0.89072,                0.88662,                0.94099,                 0.7467,                0.75128,                0.71656,                 1.0585,               0.008416,               0.008416,               0.008416
                     18,                0.99263,                 1.3101,                 1.2413,                0.90042,                0.89649,                0.94646,                0.77082,                0.72884,                0.62091,                 1.0345,               0.008317,               0.008317,               0.008317
