                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0009,                 3.0857,                 1.1785,                0.53227,                0.53694,                0.54349,                0.42135,                0.86474,                 1.6362,                 1.1552,             0.00016544,             0.00016544,             0.00016544
                      2,                0.95186,                 1.5912,                 1.1624,                0.80449,                0.65797,                0.74879,                0.60205,                0.80352,                 1.1667,                 1.1427,             0.00032882,             0.00032882,             0.00032882
                      3,                0.92131,                 1.3433,                  1.139,                0.82916,                0.73059,                0.78643,                0.63017,                0.78964,                0.99588,                 1.1358,              0.0004889,              0.0004889,              0.0004889
                      4,                 0.9019,                 1.2146,                 1.1319,                0.85022,                0.73985,                0.80132,                 0.6339,                0.81315,                0.92326,                 1.1255,             0.00048515,             0.00048515,             0.00048515
                      5,                0.88613,                 1.1256,                 1.1196,                0.82464,                0.75286,                0.80021,                0.65028,                0.78895,                0.89823,                 1.1117,              0.0004802,              0.0004802,              0.0004802
                      6,                0.84627,                 1.0496,                 1.0978,                0.86607,                 0.8097,                0.84129,                0.68581,                0.75273,                0.80488,                 1.0828,             0.00047525,             0.00047525,             0.00047525
                      7,                0.84419,                0.99562,                 1.1003,                0.89113,                0.77313,                0.84595,                0.68281,                0.79509,                0.80303,                 1.1169,              0.0004703,              0.0004703,              0.0004703
                      8,                0.83131,                0.95574,                 1.0919,                0.86406,                0.76366,                0.83479,                 0.6769,                0.75307,                0.81771,                 1.0978,             0.00046535,             0.00046535,             0.00046535
                      9,                0.82438,                0.94057,                 1.0916,                0.89222,                0.80854,                0.84988,                0.68931,                 0.7848,                0.75281,                 1.1122,              0.0004604,              0.0004604,              0.0004604
                     10,                0.80693,                0.87703,                 1.0805,                0.86853,                0.82031,                0.84552,                0.69601,                0.74271,                0.72115,                  1.091,             0.00045545,             0.00045545,             0.00045545
                     11,                 0.7904,                0.84762,                 1.0695,                0.84069,                 0.8087,                0.85282,                0.70566,                0.72792,                0.67768,                 1.0597,              0.0004505,              0.0004505,              0.0004505
                     12,                0.79976,                0.82955,                 1.0787,                0.84907,                 0.8307,                0.86388,                0.71565,                0.72171,                0.66693,                 1.0609,             0.00044555,             0.00044555,             0.00044555
                     13,                0.77607,                0.80104,                 1.0672,                0.84813,                0.80335,                0.84548,                0.70888,                0.71636,                0.67017,                 1.0566,              0.0004406,              0.0004406,              0.0004406
                     14,                0.78349,                0.79093,                  1.066,                0.83801,                0.82753,                0.85587,                0.71583,                0.71976,                0.66422,                 1.0655,             0.00043565,             0.00043565,             0.00043565
                     15,                0.76065,                0.75018,                 1.0497,                0.83197,                0.82452,                  0.857,                0.71796,                0.70298,                0.63027,                 1.0598,              0.0004307,              0.0004307,              0.0004307
                     16,                0.76065,                0.74686,                 1.0494,                0.84509,                 0.8233,                0.85717,                 0.7088,                0.72535,                 0.6524,                 1.0608,             0.00042575,             0.00042575,             0.00042575
                     17,                0.74702,                0.73228,                 1.0506,                0.84973,                0.83366,                 0.8588,                0.72283,                 0.7239,                0.61916,                 1.0538,              0.0004208,              0.0004208,              0.0004208
                     18,                  0.738,                 0.7025,                 1.0441,                0.85835,                0.82285,                0.85986,                0.72213,                0.69302,                0.62259,                 1.0485,             0.00041585,             0.00041585,             0.00041585
                     19,                0.74859,                0.70086,                 1.0467,                0.86512,                 0.8417,                0.87347,                0.73411,                0.69251,                0.59015,                 1.0389,              0.0004109,              0.0004109,              0.0004109
                     20,                0.72946,                0.69661,                 1.0368,                0.85083,                 0.8365,                0.85756,                 0.7253,                0.68853,                0.62475,                 1.0388,             0.00040595,             0.00040595,             0.00040595
                     21,                0.72773,                0.67159,                 1.0361,                0.85794,                0.82644,                0.86324,                0.73491,                 0.6771,                0.59764,                 1.0411,               0.000401,               0.000401,               0.000401
                     22,                0.71216,                0.65469,                 1.0322,                0.85766,                0.84227,                 0.8693,                0.73798,                0.67354,                0.57378,                 1.0391,             0.00039605,             0.00039605,             0.00039605
                     23,                0.71445,                0.64724,                 1.0272,                0.86196,                0.83797,                0.86857,                0.73878,                0.66503,                0.58961,                 1.0222,              0.0003911,              0.0003911,              0.0003911
                     24,                0.71349,                0.64801,                 1.0337,                0.87291,                0.84946,                0.87545,                0.74027,                0.68387,                0.56386,                 1.0454,             0.00038615,             0.00038615,             0.00038615
                     25,                0.70807,                0.63602,                 1.0299,                0.84302,                0.83779,                0.86926,                0.73372,                0.68807,                0.57942,                 1.0437,              0.0003812,              0.0003812,              0.0003812
                     26,                0.70397,                0.63755,                 1.0282,                0.92884,                0.83925,                0.90762,                0.76992,                0.65952,                0.57776,                 1.0339,             0.00037625,             0.00037625,             0.00037625
                     27,                0.70834,                0.62503,                 1.0236,                0.93479,                0.85163,                0.87795,                0.75305,                0.67467,                0.53895,                 1.0283,              0.0003713,              0.0003713,              0.0003713
                     28,                0.69247,                0.61208,                 1.0192,                0.93581,                0.84252,                0.89399,                0.76604,                0.66871,                0.55296,                 1.0327,             0.00036635,             0.00036635,             0.00036635
                     29,                0.70112,                0.61081,                 1.0269,                0.91848,                0.84508,                0.88612,                0.75452,                0.67389,                0.55479,                 1.0269,              0.0003614,              0.0003614,              0.0003614
                     30,                0.69358,                0.60991,                 1.0186,                0.95111,                0.84494,                0.89968,                0.76706,                 0.6722,                0.51509,                 1.0303,             0.00035645,             0.00035645,             0.00035645
                     31,                0.69177,                0.60092,                 1.0236,                0.91208,                0.84698,                0.90771,                0.78299,                0.66326,                0.55928,                  1.024,              0.0003515,              0.0003515,              0.0003515
                     32,                0.67628,                0.57747,                 1.0095,                0.90902,                0.83724,                0.90313,                 0.7691,                0.65776,                0.54176,                 1.0358,             0.00034655,             0.00034655,             0.00034655
                     33,                0.68366,                0.59226,                 1.0163,                0.93884,                0.84508,                0.90234,                0.77631,                 0.6533,                0.51292,                 1.0305,              0.0003416,              0.0003416,              0.0003416
                     34,                0.67696,                0.58542,                 1.0145,                0.93031,                0.85006,                 0.8855,                0.75944,                 0.6436,                0.52944,                  1.019,             0.00033665,             0.00033665,             0.00033665
                     35,                0.67431,                0.56894,                 1.0133,                0.91049,                0.84796,                0.87239,                0.75324,                0.64997,                0.52433,                 1.0205,              0.0003317,              0.0003317,              0.0003317
                     36,                0.66641,                 0.5663,                 1.0064,                 0.9473,                0.85299,                0.90803,                0.77966,                0.64091,                0.49572,                 1.0192,             0.00032675,             0.00032675,             0.00032675
                     37,                0.66523,                0.56473,                 1.0092,                0.93951,                0.85251,                0.89611,                0.76954,                0.64845,                0.50249,                 1.0206,              0.0003218,              0.0003218,              0.0003218
                     38,                0.65297,                0.55191,                0.99964,                0.94292,                0.85088,                0.90393,                0.77556,                0.65862,                0.50432,                  1.026,             0.00031685,             0.00031685,             0.00031685
                     39,                0.65488,                0.55633,                0.99999,                0.94884,                0.84295,                 0.9068,                0.78195,                0.65314,                0.49479,                 1.0059,              0.0003119,              0.0003119,              0.0003119
                     40,                0.65406,                0.54192,                0.99612,                 0.9287,                0.84085,                0.89321,                 0.7712,                0.63676,                0.51302,                 1.0121,             0.00030695,             0.00030695,             0.00030695
                     41,                0.66012,                0.53959,                0.99734,                0.93402,                 0.8551,                0.89359,                0.77205,                0.64035,                0.49178,                 1.0136,               0.000302,               0.000302,               0.000302
                     42,                0.64377,                0.53307,                 1.0011,                0.94755,                0.85802,                 0.9114,                0.79208,                0.63677,                0.48734,                  1.009,             0.00029705,             0.00029705,             0.00029705
                     43,                0.64489,                0.53503,                 1.0001,                0.95002,                0.86142,                0.91721,                0.79183,                0.65828,                0.49047,                 1.0206,              0.0002921,              0.0002921,              0.0002921
                     44,                 0.6419,                0.52697,                0.99311,                0.94712,                 0.8583,                  0.908,                0.78435,                0.63458,                0.49192,                 1.0144,             0.00028715,             0.00028715,             0.00028715
                     45,                0.64433,                0.52181,                0.99263,                0.92887,                0.86743,                0.91124,                 0.7917,                0.63223,                0.47497,                 1.0053,              0.0002822,              0.0002822,              0.0002822
                     46,                0.64194,                0.52387,                0.99255,                0.94122,                 0.8637,                 0.9104,                 0.7912,                0.62955,                0.46251,                 1.0106,             0.00027725,             0.00027725,             0.00027725
                     47,                0.63233,                0.51478,                  0.989,                0.95254,                 0.8591,                0.91099,                0.79092,                0.62315,                0.47239,                0.99951,              0.0002723,              0.0002723,              0.0002723
                     48,                0.64131,                0.51743,                0.99269,                0.93268,                0.85819,                0.90629,                0.78452,                0.62858,                0.47408,                 1.0103,             0.00026735,             0.00026735,             0.00026735
                     49,                0.63031,                0.51139,                0.99074,                0.93269,                0.86169,                0.91496,                0.79902,                0.62434,                0.48039,                 1.0068,              0.0002624,              0.0002624,              0.0002624
                     50,                0.62005,                 0.5031,                0.98946,                0.94049,                0.86346,                0.91874,                0.79253,                0.61788,                0.49302,                 0.9992,             0.00025745,             0.00025745,             0.00025745
                     51,                0.63878,                0.50968,                 0.9824,                0.94183,                0.86806,                  0.915,                0.79633,                0.60819,                0.46205,                0.99434,              0.0002525,              0.0002525,              0.0002525
                     52,                0.61775,                0.49399,                0.97903,                0.91515,                0.88167,                0.90495,                0.78355,                0.62619,                0.49102,                 1.0117,             0.00024755,             0.00024755,             0.00024755
                     53,                0.62448,                0.49413,                 0.9802,                  0.936,                 0.8879,                0.91664,                0.79466,                0.62795,                0.45834,                 1.0021,              0.0002426,              0.0002426,              0.0002426
                     54,                0.62839,                0.50481,                0.98499,                 0.9327,                0.87952,                0.91012,                0.79096,                0.62288,                0.45694,                 1.0047,             0.00023765,             0.00023765,             0.00023765
                     55,                0.61303,                0.48687,                0.98031,                0.93473,                0.88578,                0.91764,                 0.7941,                 0.6201,                0.44478,                 1.0058,              0.0002327,              0.0002327,              0.0002327
                     56,                0.61937,                0.48265,                0.98218,                0.95838,                0.87571,                0.91457,                0.79641,                0.62288,                 0.4518,                 1.0013,             0.00022775,             0.00022775,             0.00022775
                     57,                0.61226,                0.48119,                 0.9774,                0.93938,                0.88943,                 0.9186,                0.79957,                0.62304,                  0.462,                 1.0062,              0.0002228,              0.0002228,              0.0002228
                     58,                  0.604,                0.47797,                 0.9736,                0.95379,                0.89545,                0.92015,                0.79791,                0.61633,                0.44274,                 1.0027,             0.00021785,             0.00021785,             0.00021785
                     59,                0.60632,                0.46625,                0.98314,                0.93032,                0.88785,                0.92393,                0.80519,                 0.6157,                0.44307,                 1.0014,              0.0002129,              0.0002129,              0.0002129
                     60,                0.59676,                0.47175,                0.97492,                0.94745,                0.88213,                0.92021,                0.80096,                0.61804,                0.43477,                 1.0103,             0.00020795,             0.00020795,             0.00020795
                     61,                0.60725,                0.47359,                0.97732,                 0.9454,                0.88614,                0.91497,                0.79845,                0.61331,                0.44196,                 0.9951,               0.000203,               0.000203,               0.000203
                     62,                 0.5928,                0.46462,                 0.9731,                0.93368,                 0.8847,                0.91698,                0.79491,                0.60794,                0.42975,                0.99764,             0.00019805,             0.00019805,             0.00019805
                     63,                0.58637,                0.45852,                0.96544,                0.92284,                0.89238,                0.91691,                0.80023,                0.60264,                0.43506,                0.99269,              0.0001931,              0.0001931,              0.0001931
                     64,                 0.5907,                0.45404,                0.96579,                0.91304,                0.89293,                0.91049,                0.79461,                0.60628,                0.44392,                0.99423,             0.00018815,             0.00018815,             0.00018815
                     65,                0.59529,                0.46132,                0.97873,                0.92363,                0.88414,                0.91457,                 0.7929,                0.60758,                0.43852,                0.99871,              0.0001832,              0.0001832,              0.0001832
                     66,                 0.5816,                0.45285,                0.96661,                0.92947,                0.88768,                0.91203,                0.79473,                0.61866,                0.44622,                 1.0019,             0.00017825,             0.00017825,             0.00017825
                     67,                0.58047,                0.45508,                  0.967,                0.92257,                0.88817,                0.91347,                0.80107,                0.59866,                0.44444,                0.99627,              0.0001733,              0.0001733,              0.0001733
                     68,                0.57603,                 0.4441,                0.96647,                0.93171,                0.88119,                0.91788,                0.80614,                0.59247,                0.43853,                0.98963,             0.00016835,             0.00016835,             0.00016835
                     69,                0.58164,                  0.447,                0.96405,                0.92481,                0.89038,                0.91663,                0.80615,                0.60134,                0.43729,                0.99661,              0.0001634,              0.0001634,              0.0001634
                     70,                0.57152,                0.43995,                0.96054,                 0.9326,                0.88088,                0.91871,                0.80311,                0.59539,                0.44557,                0.98822,             0.00015845,             0.00015845,             0.00015845
                     71,                0.58167,                0.44064,                0.96108,                0.93534,                0.88556,                0.91833,                0.80916,                0.59704,                0.42669,                0.98499,              0.0001535,              0.0001535,              0.0001535
                     72,                0.56544,                0.43849,                0.96102,                 0.9415,                0.87613,                0.91169,                0.80097,                0.60312,                0.44745,                 1.0029,             0.00014855,             0.00014855,             0.00014855
                     73,                0.56943,                0.43933,                0.96443,                0.94042,                0.89046,                0.91854,                0.80443,                0.59851,                0.43465,                 0.9998,              0.0001436,              0.0001436,              0.0001436
                     74,                0.56973,                0.43405,                0.95861,                0.94018,                0.88316,                0.91942,                0.80935,                0.59087,                0.43051,                 0.9963,             0.00013865,             0.00013865,             0.00013865
                     75,                0.56274,                0.42717,                0.95687,                0.94441,                0.89228,                0.92272,                 0.8097,                0.59054,                0.42443,                0.98984,              0.0001337,              0.0001337,              0.0001337
