epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.652,1.19087,2.9095,1.41873,0.70137,0.6371,0.71557,0.53476,0.82471,1.92669,1.08872,0.00332551,0.00332551,0.00332551
2,698.921,1.15269,2.21031,1.3516,0.58752,0.53045,0.53896,0.36043,1.01135,2.75384,1.23518,0.00659292,0.00659292,0.00659292
3,1043.71,1.22488,2.13048,1.39708,0.41831,0.46547,0.40268,0.23888,1.28093,2.20333,1.4649,0.00979433,0.00979433,0.00979433
4,1384.07,1.28101,2.1346,1.45086,0.58573,0.55592,0.57538,0.35476,1.23074,1.66409,1.39892,0.009703,0.009703,0.009703
5,1723.6,1.24335,2.01857,1.42539,0.68872,0.63219,0.69991,0.47633,1.12829,1.39523,1.37385,0.009604,0.009604,0.009604
6,2063.89,1.20939,1.89237,1.39474,0.74157,0.69104,0.75505,0.5245,1.08214,1.22585,1.30289,0.009505,0.009505,0.009505
7,2404.2,1.17479,1.82257,1.3768,0.7331,0.69789,0.76747,0.54598,0.94383,1.22965,1.17934,0.009406,0.009406,0.009406
8,2744.37,1.14714,1.73757,1.35918,0.85053,0.73894,0.85172,0.6443,0.87408,1.01296,1.11498,0.009307,0.009307,0.009307
9,3085.47,1.11946,1.67437,1.335,0.82546,0.77643,0.85733,0.64478,0.85063,0.97606,1.11063,0.009208,0.009208,0.009208
10,3427.7,1.11052,1.6303,1.32404,0.83524,0.80134,0.88763,0.69428,0.82157,0.8378,1.09434,0.009109,0.009109,0.009109
11,3766.49,1.09191,1.58683,1.31985,0.83408,0.81516,0.89009,0.68811,0.81341,0.87237,1.08212,0.00901,0.00901,0.00901
12,4107.08,1.06846,1.53729,1.2952,0.81631,0.79233,0.87798,0.6878,0.77308,0.90186,1.04315,0.008911,0.008911,0.008911
13,4445.97,1.05802,1.4977,1.29162,0.84283,0.80119,0.88601,0.69047,0.786,0.85938,1.06954,0.008812,0.008812,0.008812
14,4783.67,1.05337,1.47919,1.28574,0.88475,0.85764,0.92613,0.73794,0.78941,0.74165,1.06136,0.008713,0.008713,0.008713
15,5121.48,1.03413,1.42477,1.27062,0.88548,0.84772,0.92553,0.72904,0.76122,0.72938,1.04817,0.008614,0.008614,0.008614
16,5459.29,1.03854,1.42633,1.27271,0.86066,0.88527,0.92689,0.74211,0.74325,0.68513,1.03782,0.008515,0.008515,0.008515
17,5797.47,1.02167,1.41041,1.26351,0.88269,0.84618,0.91777,0.7347,0.739,0.7037,1.03522,0.008416,0.008416,0.008416
18,6135.17,1.00734,1.3729,1.2558,0.8912,0.84209,0.92817,0.74429,0.7129,0.70613,1.0137,0.008317,0.008317,0.008317
19,6473.04,0.99682,1.33872,1.24378,0.87704,0.897,0.93639,0.75232,0.72826,0.6557,1.02767,0.008218,0.008218,0.008218
20,6810.9,0.99197,1.32396,1.23992,0.89499,0.89182,0.94043,0.75841,0.72089,0.64818,1.00544,0.008119,0.008119,0.008119
21,7148.74,0.98501,1.29709,1.23438,0.87854,0.8882,0.94021,0.78287,0.67543,0.61385,0.99971,0.00802,0.00802,0.00802
22,7486.54,0.97593,1.29789,1.23327,0.89064,0.91977,0.94589,0.79429,0.66252,0.57506,0.99025,0.007921,0.007921,0.007921
23,7822.78,0.96903,1.26936,1.22713,0.91776,0.88581,0.94319,0.78313,0.70268,0.57576,1.00448,0.007822,0.007822,0.007822
24,8159.38,0.9611,1.25172,1.21803,0.90678,0.89562,0.94386,0.77871,0.67945,0.58252,1.00112,0.007723,0.007723,0.007723
25,8495.7,0.95733,1.23384,1.22023,0.90364,0.90815,0.94582,0.7858,0.66159,0.5509,0.97702,0.007624,0.007624,0.007624
26,8831.86,0.9498,1.22168,1.21313,0.89948,0.92638,0.9565,0.80187,0.6488,0.5368,0.97777,0.007525,0.007525,0.007525
27,9168.08,0.94766,1.20193,1.2054,0.91945,0.9124,0.95701,0.8107,0.62916,0.51428,0.97084,0.007426,0.007426,0.007426
28,9504.34,0.93996,1.19571,1.20137,0.91936,0.92371,0.96199,0.81076,0.65747,0.5203,0.97397,0.007327,0.007327,0.007327
29,9840.6,0.9436,1.16926,1.19621,0.89852,0.92763,0.95287,0.80862,0.62625,0.51534,0.96037,0.007228,0.007228,0.007228
30,10176.7,0.92403,1.15034,1.19302,0.92567,0.92378,0.96118,0.81202,0.62436,0.51653,0.96364,0.007129,0.007129,0.007129
31,10512.8,0.91801,1.15558,1.18734,0.89917,0.90822,0.9574,0.80189,0.62869,0.52429,0.96671,0.00703,0.00703,0.00703
32,10849,0.91403,1.13492,1.18449,0.9148,0.90021,0.9557,0.80552,0.6534,0.51686,0.97479,0.006931,0.006931,0.006931
33,11185.2,0.91641,1.12428,1.18135,0.91424,0.9516,0.96281,0.80869,0.65355,0.48503,0.97305,0.006832,0.006832,0.006832
34,11521.8,0.91178,1.11583,1.17577,0.9019,0.95211,0.96462,0.81994,0.61633,0.47551,0.95703,0.006733,0.006733,0.006733
35,11858,0.91248,1.11411,1.1781,0.90469,0.94758,0.96499,0.82193,0.62689,0.48258,0.95589,0.006634,0.006634,0.006634
36,12194.6,0.90249,1.08386,1.17451,0.94104,0.92839,0.96458,0.82393,0.59669,0.46384,0.94489,0.006535,0.006535,0.006535
37,12531,0.89492,1.07684,1.16706,0.92585,0.9343,0.96471,0.82688,0.59612,0.46586,0.95081,0.006436,0.006436,0.006436
38,12870.1,0.89932,1.06765,1.16863,0.9202,0.94692,0.96626,0.82773,0.58506,0.46055,0.93974,0.006337,0.006337,0.006337
39,13206.4,0.87702,1.0469,1.15752,0.92157,0.93931,0.96641,0.82863,0.58526,0.47104,0.94026,0.006238,0.006238,0.006238
40,13542.5,0.88113,1.0324,1.15619,0.93922,0.92525,0.96939,0.83243,0.58405,0.44757,0.94103,0.006139,0.006139,0.006139
41,13879.5,0.88076,1.04514,1.15586,0.94116,0.93201,0.97346,0.83908,0.57963,0.46006,0.9422,0.00604,0.00604,0.00604
42,14218,0.87255,1.03015,1.15541,0.92943,0.9342,0.96632,0.82853,0.60572,0.47072,0.95048,0.005941,0.005941,0.005941
43,14554.3,0.86962,1.01967,1.15089,0.94315,0.93815,0.96925,0.83787,0.57905,0.4313,0.92905,0.005842,0.005842,0.005842
44,14890.6,0.86978,1.01188,1.14878,0.94735,0.93491,0.96806,0.8404,0.58144,0.44607,0.93617,0.005743,0.005743,0.005743
45,15226.8,0.86438,1.00566,1.14765,0.93626,0.93598,0.96954,0.83592,0.58309,0.43925,0.93034,0.005644,0.005644,0.005644
46,15563.1,0.86065,0.99914,1.14385,0.93535,0.95037,0.96828,0.84058,0.57365,0.43022,0.93096,0.005545,0.005545,0.005545
47,15899.6,0.85222,0.97704,1.14161,0.94035,0.95447,0.96953,0.83802,0.57787,0.42566,0.93647,0.005446,0.005446,0.005446
48,16235.7,0.85739,0.98151,1.14142,0.93112,0.95367,0.96975,0.84315,0.57433,0.42458,0.93335,0.005347,0.005347,0.005347
49,16573.4,0.84779,0.96694,1.13885,0.93242,0.95387,0.97138,0.84509,0.57765,0.41739,0.93955,0.005248,0.005248,0.005248
50,16911.1,0.84426,0.96453,1.13708,0.94204,0.9307,0.96825,0.84471,0.56578,0.42393,0.92663,0.005149,0.005149,0.005149
51,17247.7,0.8388,0.95204,1.1329,0.9243,0.94628,0.97026,0.8524,0.55829,0.41041,0.92363,0.00505,0.00505,0.00505
52,17583.7,0.83864,0.9439,1.13223,0.93648,0.9398,0.96827,0.84522,0.5553,0.40709,0.92253,0.004951,0.004951,0.004951
53,17920,0.83031,0.93317,1.12745,0.94859,0.93913,0.97343,0.85009,0.56164,0.39997,0.92971,0.004852,0.004852,0.004852
54,18256.5,0.83023,0.93424,1.12554,0.9301,0.95224,0.97353,0.85447,0.55803,0.40628,0.91903,0.004753,0.004753,0.004753
55,18593,0.81747,0.91724,1.12059,0.94349,0.94266,0.97317,0.85241,0.55715,0.40481,0.92105,0.004654,0.004654,0.004654
56,18929.4,0.81536,0.91737,1.12102,0.93324,0.9456,0.97621,0.85589,0.54787,0.3957,0.91943,0.004555,0.004555,0.004555
57,19265.9,0.814,0.91398,1.11547,0.93832,0.9532,0.97589,0.85545,0.54775,0.38252,0.92107,0.004456,0.004456,0.004456
58,19602,0.8115,0.89845,1.11665,0.93106,0.96688,0.97656,0.85905,0.53786,0.38106,0.9196,0.004357,0.004357,0.004357
59,19938.2,0.81158,0.89263,1.11398,0.94482,0.94872,0.97498,0.86113,0.53285,0.38623,0.91119,0.004258,0.004258,0.004258
60,20274.2,0.80566,0.89443,1.11148,0.92104,0.97079,0.97618,0.8588,0.54289,0.38938,0.92043,0.004159,0.004159,0.004159
61,20610.5,0.79696,0.87497,1.10493,0.94868,0.94243,0.97592,0.86043,0.53374,0.38155,0.91077,0.00406,0.00406,0.00406
62,20946.5,0.79734,0.87405,1.10434,0.94283,0.95614,0.97651,0.86176,0.52941,0.37846,0.9122,0.003961,0.003961,0.003961
63,21282.9,0.79987,0.86519,1.1067,0.95125,0.9334,0.97564,0.86255,0.53332,0.37434,0.91221,0.003862,0.003862,0.003862
64,21618.9,0.79811,0.87071,1.10452,0.9409,0.95119,0.9763,0.85725,0.53845,0.37261,0.91428,0.003763,0.003763,0.003763
65,21955,0.79065,0.85467,1.0981,0.94357,0.952,0.97414,0.85994,0.53441,0.37624,0.91751,0.003664,0.003664,0.003664
66,22291.3,0.79012,0.8524,1.10209,0.9344,0.96436,0.9751,0.86142,0.52943,0.37101,0.91464,0.003565,0.003565,0.003565
67,22627.4,0.78641,0.84971,1.09594,0.93649,0.94884,0.97293,0.85977,0.53728,0.37792,0.91295,0.003466,0.003466,0.003466
68,22963.6,0.77557,0.83547,1.09336,0.95212,0.94935,0.97491,0.86142,0.5288,0.37132,0.91188,0.003367,0.003367,0.003367
69,23299.6,0.78057,0.83556,1.09415,0.95331,0.93727,0.97427,0.85877,0.53462,0.37889,0.91403,0.003268,0.003268,0.003268
70,23635.6,0.76309,0.80867,1.08501,0.93908,0.95522,0.97407,0.86656,0.52475,0.36522,0.90212,0.003169,0.003169,0.003169
71,23971.8,0.76609,0.81246,1.08485,0.95525,0.93492,0.97692,0.87093,0.51748,0.35839,0.89921,0.00307,0.00307,0.00307
72,24307.9,0.7654,0.80958,1.08519,0.94794,0.94945,0.97616,0.86981,0.52119,0.35778,0.90326,0.002971,0.002971,0.002971
73,24644.1,0.75671,0.80621,1.08078,0.94183,0.96031,0.9763,0.86747,0.52816,0.36419,0.90992,0.002872,0.002872,0.002872
74,24980.2,0.76182,0.7988,1.0807,0.94503,0.96374,0.97821,0.86688,0.52849,0.35547,0.90768,0.002773,0.002773,0.002773
75,25316.7,0.74575,0.78186,1.07462,0.95476,0.95052,0.97742,0.86777,0.52441,0.35445,0.90694,0.002674,0.002674,0.002674
76,25653.1,0.75202,0.78725,1.07949,0.94741,0.96356,0.97633,0.86816,0.52781,0.35505,0.90538,0.002575,0.002575,0.002575
77,25989.6,0.74535,0.77335,1.075,0.95272,0.96038,0.97563,0.86938,0.52133,0.35327,0.9039,0.002476,0.002476,0.002476
78,26325.6,0.74386,0.78189,1.07366,0.95322,0.94859,0.97553,0.86682,0.51792,0.35942,0.90392,0.002377,0.002377,0.002377
