                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95508,                 8.7138,                0.68431,                 2.3944,                 1.2493,                 0.5203,                0.61852,                0.60265,                0.41716,                0.00188,                0.00753,                0.00019,                  2e-05,                0.99847,                 7.8865,                0.56216,                 1.6229,                 1.3068,             0.00033192,             0.00033192,             0.00033192
                      2,                 1.0662,                  7.568,                0.65252,                 1.8369,                 1.2943,                0.53841,                0.58311,                 0.5545,                0.38437,                0.02883,                0.03683,                0.00677,                0.00078,                 1.0775,                 7.1551,                0.51925,                 1.5639,                 1.3646,             0.00065867,             0.00065867,             0.00065867
                      3,                 1.1474,                 7.3235,                0.63258,                 1.8005,                 1.3431,                0.43903,                0.60919,                0.53709,                0.37712,                0.06286,                0.08311,                0.02256,                0.00321,                 1.0452,                 6.9294,                0.53182,                 1.5305,                 1.3281,             0.00097882,             0.00097882,             0.00097882
                      4,                 1.1497,                 7.1129,                0.61554,                 1.7299,                 1.3438,                0.55087,                0.64128,                0.62568,                0.44709,                0.07077,                0.10742,                0.03823,                0.00531,                 1.0255,                 6.7641,                0.52079,                 1.4479,                 1.3072,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1341,                  6.972,                0.59156,                 1.6648,                 1.3381,                0.59686,                0.63711,                0.63118,                0.44232,                0.19207,                0.11265,                0.05689,                 0.0087,                 1.0216,                  6.715,                 0.4747,                 1.3719,                 1.3037,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0962,                 6.8159,                0.55953,                 1.5849,                 1.3062,                0.56587,                0.72231,                0.69019,                0.50667,                0.06735,                0.06938,                0.02321,                0.00378,                0.95606,                 6.8041,                0.46992,                 1.2649,                 1.2627,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0782,                  6.713,                0.54342,                 1.5294,                 1.2952,                0.60201,                0.60611,                 0.6721,                0.48145,                0.16729,                0.17545,                0.11964,                 0.0223,                0.99357,                 6.5143,                0.45733,                 1.2612,                  1.272,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0758,                 6.6219,                0.53063,                 1.5166,                 1.2998,                0.53848,                0.68794,                0.67423,                0.48955,                0.17466,                0.14668,                0.09701,                0.01646,                 1.0066,                 6.4588,                0.45952,                 1.2565,                 1.2882,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.047,                 6.5344,                0.52453,                 1.4729,                 1.2706,                 0.6039,                  0.695,                0.69547,                0.49506,                0.22024,                0.15527,                0.11682,                 0.0193,                 1.0096,                 6.3995,                0.45991,                 1.2023,                 1.2939,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0384,                 6.5371,                0.51847,                 1.4511,                 1.2672,                0.67864,                0.66851,                0.71466,                0.52499,                0.22927,                0.20213,                0.13463,                0.02067,                0.97747,                 6.3251,                0.43173,                 1.2055,                 1.2818,              0.0009109,              0.0009109,              0.0009109
