epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.88,0.97742,8.93533,0.69429,2.93929,1.25773,0.48074,0.56114,0.49402,0.35588,0.00113,0.0026,4e-05,0,0.99921,8.10466,0.58122,1.96105,1.31807,0.000331921,0.000331921,0.000331921
2,410.713,1.0956,7.68237,0.64699,2.21327,1.31673,0.50174,0.53914,0.50772,0.34637,0.05993,0.0543,0.01743,0.00213,1.05442,7.16389,0.54014,1.81143,1.38982,0.000658668,0.000658668,0.000658668
3,614.264,1.15018,7.40286,0.61508,2.02467,1.35057,0.51597,0.47622,0.51093,0.33951,0.01083,0.01804,0.00192,0.00023,1.118,7.37338,0.56358,1.81172,1.41405,0.000978816,0.000978816,0.000978816
4,815.404,1.15122,7.24486,0.59649,1.85454,1.34178,0.46191,0.59576,0.49204,0.31813,0.06663,0.07403,0.02315,0.00316,1.23491,7.16531,0.49453,1.70628,1.46794,0.0009703,0.0009703,0.0009703
5,1015.96,1.15027,7.11836,0.56353,1.77783,1.34107,0.53702,0.59776,0.60394,0.41363,0.0845,0.10857,0.03848,0.00665,1.04738,6.7431,0.46646,1.50762,1.3645,0.0009604,0.0009604,0.0009604
6,1216.3,1.14653,7.02414,0.55088,1.72465,1.34899,0.53773,0.62152,0.60885,0.41365,0.08139,0.10697,0.03701,0.00537,1.05331,6.73826,0.45621,1.40873,1.32195,0.0009505,0.0009505,0.0009505
7,1416.67,1.08792,6.817,0.53344,1.62688,1.30223,0.62257,0.63599,0.6606,0.48329,0.14622,0.11222,0.05699,0.00907,0.98175,6.7295,0.48064,1.37438,1.2914,0.0009406,0.0009406,0.0009406
8,1617.04,1.09622,6.73799,0.52729,1.57656,1.3117,0.59699,0.67156,0.64488,0.47922,0.12942,0.1329,0.06336,0.01013,0.97358,6.58896,0.4519,1.27912,1.27066,0.0009307,0.0009307,0.0009307
9,1817.5,1.06454,6.62363,0.51915,1.54804,1.28509,0.57748,0.60902,0.6464,0.46425,0.16011,0.13823,0.08419,0.01671,1.02518,6.4109,0.44035,1.36422,1.3025,0.0009208,0.0009208,0.0009208
10,2019.2,1.06085,6.49292,0.51494,1.49407,1.27927,0.59165,0.73603,0.7194,0.54433,0.21103,0.20875,0.151,0.02629,0.88246,6.26195,0.44345,1.15201,1.21296,0.0009109,0.0009109,0.0009109
11,2220.23,1.02591,6.48067,0.51272,1.46064,1.25793,0.65269,0.70486,0.72749,0.54302,0.15315,0.15746,0.08346,0.01405,0.89381,6.28783,0.44744,1.13421,1.22184,0.000901,0.000901,0.000901
12,2420.5,1.01774,6.3834,0.50584,1.42622,1.2535,0.66325,0.64876,0.71459,0.542,0.25996,0.20571,0.1427,0.02437,0.88652,6.25512,0.43949,1.178,1.22413,0.0008911,0.0008911,0.0008911
13,2620.83,1.02481,6.38485,0.50344,1.42299,1.26655,0.67245,0.66448,0.7326,0.54152,0.30448,0.15994,0.11831,0.02088,0.94202,6.30487,0.44134,1.12441,1.25234,0.0008812,0.0008812,0.0008812
14,2821.23,1.01634,6.25182,0.4938,1.39344,1.24886,0.6228,0.71565,0.74051,0.56882,0.23815,0.17056,0.11711,0.02009,0.85728,6.21314,0.44603,1.13377,1.18802,0.0008713,0.0008713,0.0008713
15,3021.59,0.99165,6.22151,0.49964,1.35917,1.23697,0.71005,0.6997,0.76958,0.5776,0.22137,0.20942,0.12101,0.02099,0.90814,6.18448,0.43677,1.05406,1.20072,0.0008614,0.0008614,0.0008614
16,3221.8,0.99576,6.17736,0.49389,1.33874,1.24674,0.63904,0.74285,0.76273,0.58284,0.21199,0.25662,0.1755,0.03194,0.87495,6.01448,0.42964,1.07156,1.20645,0.0008515,0.0008515,0.0008515
17,3422.32,0.98071,6.1518,0.49141,1.31972,1.22819,0.68464,0.66965,0.75016,0.5764,0.27044,0.24853,0.17732,0.0305,0.88699,6.10739,0.44591,1.09631,1.23836,0.0008416,0.0008416,0.0008416
18,3622.6,0.98429,6.10604,0.49358,1.30869,1.23406,0.662,0.75897,0.75245,0.5756,0.28401,0.21344,0.15994,0.03022,0.84515,6.06329,0.44542,1.06952,1.15806,0.0008317,0.0008317,0.0008317
19,3822.94,0.95087,6.04193,0.49306,1.28711,1.21417,0.65912,0.7323,0.76785,0.57906,0.2901,0.2587,0.20673,0.03683,0.87002,5.94461,0.43432,1.02108,1.19071,0.0008218,0.0008218,0.0008218
20,4023.41,0.95735,5.97462,0.49118,1.27359,1.22399,0.62498,0.77197,0.77693,0.59054,0.35894,0.26621,0.2001,0.03742,0.8448,5.85807,0.4392,1.00114,1.16567,0.0008119,0.0008119,0.0008119
21,4223.8,0.95149,5.93009,0.48925,1.26269,1.21064,0.67856,0.76788,0.80614,0.6331,0.37729,0.30387,0.23617,0.0449,0.79837,5.77538,0.4236,0.94243,1.1224,0.000802,0.000802,0.000802
22,4424.15,0.93006,5.8618,0.49013,1.23642,1.19516,0.75313,0.68374,0.79184,0.62169,0.39102,0.31116,0.25662,0.05244,0.83909,5.72958,0.43369,0.98778,1.14888,0.0007921,0.0007921,0.0007921
23,4624.52,0.93867,5.83517,0.48537,1.24396,1.20677,0.74133,0.74994,0.79722,0.62077,0.36487,0.29181,0.22425,0.0448,0.82863,5.89564,0.42065,0.94887,1.16703,0.0007822,0.0007822,0.0007822
24,4824.87,0.92052,5.80698,0.48196,1.20696,1.19353,0.73075,0.72608,0.79684,0.6217,0.4336,0.32212,0.25863,0.05456,0.84262,5.67829,0.43181,0.95871,1.16625,0.0007723,0.0007723,0.0007723
25,5026.88,0.92224,5.77677,0.48411,1.19337,1.19042,0.65123,0.78375,0.7871,0.6181,0.35013,0.31838,0.25784,0.0555,0.8013,5.76401,0.42133,0.98466,1.13988,0.0007624,0.0007624,0.0007624
26,5228.68,0.91533,5.73921,0.48546,1.19543,1.1909,0.74183,0.69628,0.79919,0.62869,0.42963,0.31726,0.24755,0.04726,0.80716,5.79713,0.42021,0.96776,1.14223,0.0007525,0.0007525,0.0007525
27,5431.47,0.90787,5.66869,0.47497,1.17986,1.18186,0.78145,0.70062,0.81707,0.64466,0.46927,0.35216,0.29469,0.06568,0.82433,5.56937,0.41769,0.90192,1.1587,0.0007426,0.0007426,0.0007426
28,5633.7,0.89944,5.61786,0.48142,1.16525,1.18298,0.73575,0.76814,0.82261,0.63704,0.4581,0.40063,0.33453,0.06417,0.81528,5.55232,0.41338,0.92194,1.15143,0.0007327,0.0007327,0.0007327
29,5834.08,0.89868,5.63099,0.48078,1.16338,1.18122,0.74816,0.74214,0.82414,0.65557,0.49191,0.35705,0.31637,0.06708,0.81251,5.56688,0.41423,0.88913,1.13605,0.0007228,0.0007228,0.0007228
